Company Name	Ticker	Reporting Currency	Sector	DPS_FY1	DPS_FY2	DPS_FY3	EBITDA_FY1	EBITDA_FY2	EBITDA_FY3	EPS	Market_cap_million	Share Price	3yr TSR	EV/EBITDA	Sales_FY1	Sales_FY2	Sales_FY3	Net_Debt_FY1	Net_Debt_FY2	Net_Debt_FY3
Aurexa PLC	AUREX	ESD	Health Care	8.712648316	3.300619965	0.524214343	15350.96498	6028.419588	9642.535068	6.292286474	 645,757 	991.8960162	-0.46740413	36.86442321	57612.74011	9067.008253	33915.89782	14444.16304	16108.60752	14302.00003
Helvantos Systems	HELVL	ESD	Energy	-0.215639474	0.329952987	0.948966219	5548.39316	6968.614796	6005.532941	1.892766219	 28,965 	39.78106153	-0.225850774	6.5565002	24466.53524	29580.53446	18649.64782	7270.09368	1590.638406	5263.432937
Suzhouvar Group	SUZHH	ESD	Industrials	0.938150316	0.972308259	0.738829354	85625.42319	239224.1593	140290.4513	8.851614156	 4,253,823 	303.1764966	2.390690698	47.19738891	427881.3182	280054.947	434372.9851	-87375.02068	-18486.29674	-40471.83354
Daejuna Labs	DAEJ	ESD	Health Care	10.15597265	4.777520725	2.925625376	26075.5786	6883.19259	42035.17628	15.04279707	 116,695 	77.30246873	-0.555243759	16.72524694	28961.87157	35942.60281	94777.93964	37298.8055	49524.72792	64750.39378
Daekari Silk Corp	DAEK	ESD	Consumer Discretionary	0	0	0	2598.21007	2925.959328	3450.267083	4.900287155	 34,343 	120.9376664	5.697545637	21.8249199	12810.71111	9194.192438	8835.144935	-2384.24777	-6543.059531	-8377.515998
Riventea PLC	RIVE	ESD	Health Care	1.546283105	2.506524442	2.671177244	#N/A	3570.921234	12165.87908	1.359769907	 177,447 	89.20600299	1.228410095	14.54328248	52486.56329	21750.20578	32296.09344	2272.420316	5014.035051	5547.558466
Riventis Bridge Systems	RIVER	ESD	Financials	0	0.146448843	0	#N/A	1683.649295	#N/A	11.10845605	 32,690 	131.7935235	1.057252709	#N/A	11662.33376	4576.677522	10948.33701	5206.289105	#N/A	5452.336983
Rheonix Bridge Group	RHEOP	ESD	Information Technology	6.55698962	4.952936277	7.067204039	10963.22184	12296.08386	9966.074192	17.10622485	 261,060 	374.8537387	-0.498928038	14.04644609	101517.3109	56074.35433	99007.47598	-3519.061793	-7535.491156	-9094.684031
Minatomoto Group	MINAP	ESD	Information Technology	0	0	0	12472.46737	9434.325969	9053.59806	10.99364471	 97,243 	415.6917067	2.190063969	4.373934785	28130.27877	23864.65771	12281.74384	-1733.844333	-6152.41719	-1363.748126
Hanseikoku Global	HANSY	ESD	Information Technology	3.396427564	2.940860524	2.400881069	5219.630469	7461.358099	5876.822403	10.74300531	 70,639 	269.056151	1.867954383	28.63566461	12549.02838	19072.51064	13935.19072	4174.60553	6726.173848	5800.164371
